"water_year","month","Short_term","Region","Season","st_index","BPUE_ug"
2013,11,TRUE,"Suisun Bay","Fall","Drought, no barrier",9291.55272928494
2013,11,TRUE,"Suisun Marsh","Fall","Drought, no barrier",4512.49865441014
2013,12,FALSE,"SouthCentral","Winter","Drought, no barrier",410.87039
2013,12,TRUE,"Confluence","Winter","Drought, no barrier",365.049502546113
2013,12,TRUE,"SouthCentral","Winter","Drought, no barrier",1270.36575
2013,12,TRUE,"Suisun Bay","Winter","Drought, no barrier",4222.61822771424
2013,12,TRUE,"Suisun Marsh","Winter","Drought, no barrier",2996.77896064529
2014,1,FALSE,"SouthCentral","Winter","Drought, no barrier",364.06381
2014,1,TRUE,"Confluence","Winter","Drought, no barrier",1638.18014130102
2014,1,TRUE,"SouthCentral","Winter","Drought, no barrier",8240.93433
2014,1,TRUE,"Suisun Bay","Winter","Drought, no barrier",4371.59431061202
2014,1,TRUE,"Suisun Marsh","Winter","Drought, no barrier",5085.92664088507
2014,2,FALSE,"SouthCentral","Winter","Drought, no barrier",1029.96827916404
2014,2,TRUE,"Confluence","Winter","Drought, no barrier",2098.9441657528
2014,2,TRUE,"SouthCentral","Winter","Drought, no barrier",15548.47974
2014,2,TRUE,"Suisun Bay","Winter","Drought, no barrier",5074.37275947396
2014,2,TRUE,"Suisun Marsh","Winter","Drought, no barrier",7373.24265705176
2014,3,FALSE,"SouthCentral","Spring","Drought, no barrier",835.95403
2014,3,TRUE,"Confluence","Spring","Drought, no barrier",1350.911029963
2014,3,TRUE,"SouthCentral","Spring","Drought, no barrier",1305.55408
2014,3,TRUE,"Suisun Bay","Spring","Drought, no barrier",3092.47796424964
2014,3,TRUE,"Suisun Marsh","Spring","Drought, no barrier",4357.74807727208
2014,4,FALSE,"SouthCentral","Spring","Drought, no barrier",1816.05068
2014,4,TRUE,"Confluence","Spring","Drought, no barrier",3234.83694082829
2014,4,TRUE,"SouthCentral","Spring","Drought, no barrier",4702.29855
2014,4,TRUE,"Suisun Bay","Spring","Drought, no barrier",6972.57589194268
2014,4,TRUE,"Suisun Marsh","Spring","Drought, no barrier",12055.5922717989
2014,5,FALSE,"SouthCentral","Spring","Drought, no barrier",5019.08889
2014,5,TRUE,"Confluence","Spring","Drought, no barrier",10609.101913035
2014,5,TRUE,"SouthCentral","Spring","Drought, no barrier",8218.84123
2014,5,TRUE,"Suisun Bay","Spring","Drought, no barrier",10093.3639409304
2014,5,TRUE,"Suisun Marsh","Spring","Drought, no barrier",10684.9826536702
2014,6,TRUE,"Confluence","Summer","Drought, no barrier",15285.9643503397
2014,6,TRUE,"SouthCentral","Summer","Drought, no barrier",20919.5075296918
2014,6,TRUE,"Suisun Bay","Summer","Drought, no barrier",8994.29113796452
2014,6,TRUE,"Suisun Marsh","Summer","Drought, no barrier",9951.86446377634
2014,7,TRUE,"Confluence","Summer","Drought, no barrier",13901.4557514852
2014,7,TRUE,"SouthCentral","Summer","Drought, no barrier",18198.661867867
2014,7,TRUE,"Suisun Bay","Summer","Drought, no barrier",8191.81365719089
2014,7,TRUE,"Suisun Marsh","Summer","Drought, no barrier",7777.91514896465
2014,8,TRUE,"Confluence","Summer","Drought, no barrier",16741.1150888361
2014,8,TRUE,"SouthCentral","Summer","Drought, no barrier",13343.3434967037
2014,8,TRUE,"Suisun Bay","Summer","Drought, no barrier",5829.03620341943
2014,8,TRUE,"Suisun Marsh","Summer","Drought, no barrier",6603.33986642226
2014,9,FALSE,"SouthCentral","Fall","Drought, no barrier",30546.3015
2014,9,TRUE,"Confluence","Fall","Drought, no barrier",15105.3832623962
2014,9,TRUE,"SouthCentral","Fall","Drought, no barrier",28315.5008389452
